text,keywords
"at t s access to the records and other supporting documentation shall include the right to inspect and photocopy vendor s documentation and the documentation of its subcontractors as provided to vendor, and the right to retain copies thereof outside of their physical location with appropriate safeguards, if such retention is deemed reasonably necessary by at t and only to the extent that all such records are maintained by at t in accordance with section hereof",photocopy documentation retention retain vendor
"at t audits may be conducted once a year or more frequently if requested by governmental authorities who regulate at t s business, if required by applicable law or if auditors require follow up access to complete audit inquiries or if an audit uncovers any problems or deficiencies , upon at least ten business days advance notice unless otherwise mandated by law and during business hours",audit frequently days applicable
"vendor will cooperate, and will ensure that its subcontractors cooperate, in the at t audits",vendor ensure
"vendor will provide at t, at at t s request and cost, with paper and electronic copies of documents and information reasonably necessary to verify vendor s compliance with this agreement",vendor compliance agreement verify provide
"with respect to at t requests for audits or inspections of vendor s subcontractors, the following applies i if vendor s agreement with its applicable subcontractor permits an at t audit, at t shall be permitted to conduct such audit directly or through a third party representative",audit subcontractor vendor agreement conduct
"failing those efforts, upon at t s request and at at t s expense, conduct the audit or inspection on behalf of at t",audit inspection expense behalf conduct
"subject to terms agreed to by vendor and at t for the subcontractor audit, such as areas to be audited, and the timeframe for reporting audit results to at t. if at t s request for a vendor audit or inspection arises from",audit inspection subcontractor vendor subject
"in at t s good faith opinion, materially or consistently deficient service provided by the subcontractor under at t s account, and the audit in both parties opinions confirms such deficiencies",audit subcontractor service faith deficient
"failing those efforts, upon at t s request and at at t s expense, conduct the audit or inspection on behalf of at t",audit inspection expense behalf conduct
"subject to terms agreed to by vendor and at t for the subcontractor audit, such as areas to be audited, and the timeframe for reporting audit results to at t at t may inspect and inventory the material furnished by at t under this agreement during vendor s normal business hours",audit subcontractor vendor inventory inspect
"prior to location acceptance, vendor shall provide at t escorted access to the premises wherein all such material is located and, following location acceptance",acceptance vendor location access following
"vendor shall provide to at t or its third party delegate , upon request and at no charge, its parent company",vendor delegate company provide parent
"upon days notice and at time mutually agreed upon by the parties during dong a s normal business hours, but no more frequently than every year during the term of this agreement, at its cost and expense",agreement expense days dong mutually
"kitov shall have the right at reasonable intervals, with reasonable prior written notice and during normal business hours, and not more often than annually to inspect dexcel s manufacturing facilities used in the manufacture",manufacture inspect notice right shall
"customer shall be entitled to review, upon reasonable prior written notice, all manufacturing records relating to such samples",review customer notice prior shall
"including all analytical procedures and cleaning validation relating to the equipment used in connection with the manufacture of the samples manufacturer shall obtain the right for customer to audit, at customer s expense, any such third party warehouse upon reasonable prior advance written notice and during normal business hours subject to the remainder of this section",audit warehouse analytical validation manufacture
"no more than once per calendar year, upon thirty days advance written notice to manufacturer, customer may physically inspect or audit consistent with section the facilities under this section provided that customer will use good faith efforts to choose dates of inspection or audit that do not unreasonably interfere with the operation of manufacturer s business provided",audit inspection inspect notice manufacturer
"that customer shall consider in good faith any alternative dates of inspection or audit proposed by manufacturer within five days of manufacturer s receipt of such notice it being understood that nothing in this section shall require customer to accept any such proposed alternative dates of inspection or audit notwithstanding the limits set forth in the omitted foregoing sentence, customer may more frequently conduct for cause physical inspections or audits of a facility with five days advance written notice to manufacturer if customer has reasonable cause to believe that an inspection or audit of such facility is warranted because manufacturer s activities with respect to such facility are in breach of this agreement, the quality agreement or the applicable facility addendum",inspection audit receipt warranted notice
"any such inspection or audit shall include access to relevant records subject to the terms of section and personnel and being present during, start up manufacturing operations, warehouse receiving and storage",inspection audit warehouse access personnel
"subject to the terms and conditions set forth herein, customer may conduct, at its own expense",expense customer conduct subject forth
"manufacturer will provide customer with periodic access, upon reasonable notice, to any of its facilities where it is performing under this agreement",customer agreement manufacturer notice access
"in connection with such reviews, manufacturer shall reasonably assist in the completion of an environmental health and safety survey of manufacturer or the scheduling of an environmental health and safety audit of the facility, in each case with respect to the products",manufacturer environmental audit safety facility
"customer or its representatives, including its external auditors, may audit such records of manufacturer",audit manufacturer external customer
"including all records related to manufacturer s compliance with applicable laws, at any time during the term of this agreement or applicable facility addendum or the record retention period, during normal business hours and upon reasonable advance written notice to manufacturer but in no event more than one time per year except for cause",compliance record retention applicable agreement
"vertex has the right, at its sole expense and during normal working hours, to have a third party accountant examine the records of bunker one",vertex accountant bunker expense examine
"xspa s representatives may, from time to time during regular business hours on reasonable advance notice, during the term of this agreement and for a period of six months thereafter",agreement notice advance term time
"calm s representatives may, from time to time during regular business hours on reasonable advance notice, during the term of this agreement and for a period of six months thereafter",calm agreement notice advance reasonable
"upon thirty days prior written notice from a party the auditing party , the other party the audited party shall permit an independent certified public accounting firm of nationally recognized standing selected by the auditing party and reasonably acceptable to the audited party, at the auditing party s sole expense",accounting expense certified independent permit
"upon thirty days prior written notice from an auditing party, the audited party shall permit the auditing party s external auditors access to any relevant books documents, and records of the party involving any report delivered pursuant to sections d",pursuant access external permit
"d and a of this agreement and the activities performed under this agreement, if the other party has credible evidence that the other party violated terms of this agreement, including with respect to product training under section e",agreement evidence product training section
"valeant shall have the right, at its own expense, during normal business hours and upon reasonable prior notice",shall notice expense business right
"through certified public accounting firm or other auditor selected by valeant and reasonably acceptable to dova and upon execution of a confidentiality agreement reasonably satisfactory to dova in form and substance, to inspect and audit the applicable records and books maintained by dova for purposes of verifying dova s payment obligations within this agreement, including the applicable records and books of account maintained by dova",audit auditor accounting inspect confidentiality
"or any affiliate, with respect to net sales in order to confirm the accuracy and completeness of such records and books of account and all payments hereunder provided, that i such examination shall not take place more often than once per every twelve months during the term and once during the one year period following the end of the term",examination affiliate account term net
"valeant shall bear the out of pocket costs and expenses incurred by the parties in connection with any such inspection or audit, unless the audit shows an undisputed under reporting or underpayment for that audited period in excess of of the amounts properly determined, in which case",audit underpayment inspection excess
"dova shall have the right, at its own expense, during normal business hours and upon reasonable prior notice",shall expense business notice right
"through a certified public accounting firm or other auditor selected by dova and reasonably acceptable to valeant and upon execution of a confidentiality agreement reasonably satisfactory to valeant in form and substance, to inspect and audit the applicable records and books maintained by valeant relating to the valeant activities for purposes of verifying valeant s compliance with the terms of this agreement, provided that i such examination shall not take place more often than once per every twelve months during the term and once during the one year period following the end of the term",audit auditor compliance accounting inspect
"dova shall bear the out of pocket costs and expenses incurred by the parties in connection with any such inspection or audit, unless the audit shows an undisputed over payment for that audited period in excess of of the amounts properly determined, in which case",audit inspection payment shall
"siga may have an independent top four certified public accountant, reasonably acceptable to mmt siga s auditor , have access during normal business hours",auditor accountant certified independent access
"and upon business days prior written notice, to examine only those records of mmt and its affiliates and sublicensees as may be reasonably necessary to determine, with respect to any calendar year ending not more than before siga s request",calendar notice year business examine
"the correctness or completeness of any report or payment made under this agreement provided, mmt shall not be required to provide, and neither siga nor siga s auditor shall be entitled to review",auditor agreement shall payment report
"or its authorized representatives, shall have the right, at its cost",authorized shall cost right
"with reasonable advance notice, during regular business hours, to audit the facility used by the promoter in order to review the promoter activities under this exhibit including",audit promoter exhibit facility review
"but not limited to, any documents relevant to these activities, for compliance with the safety reporting requirements set out in this exhibit",compliance safety exhibit limited relevant
"cht will provide ehave and its representatives, auditors and inspectors auditors upon ten business days prior written notice with reasonable access, during business hours",access notice days business
"to all facilities, systems and assets used by cht, to cht personnel and subcontractors and to all relevant cht books and records",personnel assets relevant used
"in each case, to the extent relevant to this agreement, in order to conduct appropriate audits",agreement conduct extent order case
"audits may be conducted once a calendar year, provided that the foregoing limit shall not apply where an audit discovered an overcharge of or more, in which case",audit overcharge calendar limit year
"in january of each calendar year constellation shall allow, at the written request and expense of the hof entities, the hof entities the right to audit during normal business hours all relevant constellation records related to new business generated during the immediately preceding calendar year",audit constellation calendar expense business
"the fund shall also furnish integrity upon request with a annual audits of the fund s books and accounts made by independent public accountants regularly retained by the fund, b semi annual unaudited financial statements pertaining to the fund, c quarterly earnings statements prepared by the fund",fund earnings financial integrity quarterly
"d a monthly itemized list of the securities in the portfolio of the fund, e monthly balance sheets as soon as practicable after the end of each month, and f from time to time such additional information regarding the fund s financial condition as integrity may reasonably request",portfolio fund financial monthly month
"company shall have the right, in a manner to avoid unreasonable interruption to rghi s or its affiliates business, to evaluate the effectiveness of the key controls and upon at least thirty days written notice to rghi",notice company interruption effectiveness business
"perform through its external auditor audit procedures over rghi s internal controls and procedures for the services provided under this agreement provided that such right to audit shall exist solely to the extent reasonably required by company s external auditors to ensure company s compliance with the sarbanes oxley act of at the request of recipient, provider shall provide to recipient and its affiliates reasonable access to provider s applicable personnel and records with respect to the amount charged in connection with any service so that recipient may confirm that the pass through costs incurred by provider or, to the extent such service is provided on an hourly basis",audit auditor compliance external provider
"each party shall make the tsa records it maintains available to the other party and its affiliates and their respective auditors or other representatives, and in any event to any governmental authority, during normal business hours on reasonable prior notice it being understood that tsa records that are not stored on a party s regular business premises will require additional time to retrieve",retrieve time party authority
"in connection with such review of tsa records, and upon reasonable prior notice, a reviewing party and its affiliates shall have the right to discuss matters relating to the tsa records with the employees of the party or its affiliates who are maintaining the relevant tsa records and providing the services",review party notice discuss
"on and after the commencement date, and shall cause its affiliates to, until the th anniversary of the commencement date",commencement anniversary shall date cause
"afford to rcp and its employees and authorized representatives during normal business hours reasonable access to their books of account, financial and other records including accountant s work papers , employees and auditors at the company s expense to the extent necessary or useful for the company in connection with any audit",audit expense accountant access financial
"after the commencement date, and shall cause its affiliates to, until the th anniversary of the date on which rghl or its affiliates owns less than of the capital stock in rcp",commencement stock capital anniversary date
"afford to rghi and its employees and authorized representatives reasonable access to rcp s employees and auditors, retain all books, records including accountant s work papers",accountant access afford
"and other information and documents pertaining to the business in existence on the commencement date and make available for inspection and copying by rghi at rghi s expense during normal business hours, in each case so as not to unreasonably interfere with the conduct of the business of rcp and its affiliates, such information a as may be required by any governmental authority",commencement inspection information business expense
"including pursuant to any applicable law or regulatory request or to prepare or file any tax related documentation, b as may be necessary for rghi or its affiliates in connection with their ongoing financial reporting, accounting or other purpose related to rghi and company s affiliation immediately prior to the commencement date",affiliation accounting commencement documentation pursuant
"upon reasonable request not more than once during any calendar year, and with reasonable notice, the servicer will give the issuer",issuer calendar year request notice
"the custodian will give the servicer access to the receivable files and, on request of the servicer, the custodian will promptly release any document in the receivable files to the servicer for purposes of servicing the receivables",receivables receivable custodian document access
"as owner of the licensed mark, shall have the right at all times to control and approve the nature and quality of the licensed products and the licensed mark thereon , and to inspect licensee s business operations upon reasonable prior notice for the purpose of ensuring that a high level of quality of the licensed products is being maintained by licensee",licensee licensed notice owner quality
"no more frequently than once per year, a third party auditor chosen by licensor and approved by licensee, such approval not to be unreasonably withheld",auditor licensee withheld approval frequently
"shall be entitled at any time on reasonable notice to the licensee to enter, during regular business hours, any premises used by the licensee or its manufacturers for the manufacture",licensee notice shall manufacture business
"packaging or storage of the licensed products, to inspect such premises, workforce and machinery used for manufacture",manufacture inspect licensed machinery storage
"each party or its designated representatives shall, upon reasonable notice to the other party, have the right",shall party notice right reasonable
"no more frequently than two times per twelve consecutive calendar months, at its own expense, at reasonable times and during normal business hours",frequently calendar times consecutive expense
"each party the audited party will, upon at least thirty days prior written request by the other party the auditing party , allow an independent certified public omitted accounting firm selected by the auditing party and reasonably acceptable to the audited party to audit such books and records at the audited party s premises to the extent necessary to verify the audited party s compliance or non compliance with the provisions of this section or",audit accounting compliance certified independent
"in the case of company, section royalties provided, that a any such audit is conducted during normal business hours and in a manner designed to not unreasonably interfere with the audited party s ordinary business operations b audits may not occur more frequently than once every twelve months and c each such audit may only cover the period commencing after the period covered by the last audit conducted pursuant to this section",audit business pursuant frequently company
"such inspection shall be at themart s expense however, if the audit reveals overdue payments in excess of ten percent of the payments owed to date, i escrow shall immediately pay all cost of such audit",audit inspection escrow expense overdue
"during the term of this agreement and for one year thereafter, verticalnet shall have the right to appoint a certified public accountant to audit impresse s financial records relating to such payment to verify the accuracy of impresse s financial records in order to verify the amount of the payments owed and or paid hereunder, but no more frequently than once per year",audit accountant agreement payment financial
"about shall have the right to examine, or to have examined by a representative of about, ebix s books and records to verify the accuracy of payments made to about for a maximum period of last months preceding a written notice of about",examine preceding shall verify accuracy
"about shall provide ebix with at least thirty days prior notice of an audit and such audit shall be conducted at ebix s offices for a maximum period of two business days, during regular business hours, subject to ebix s cooperation",audit notice shall days business
"during the month period following the payment by one party of any amount due under this agreement to the other party, the party receiving payment the auditing party shall have the right, at its own expense",payment agreement expense shall month
"the auditing party may cause the auditor to perform such an audit not more than once in any month period, unless a prior audit within the past two years revealed that the amount owed by the audited party to the auditing party was underpaid in excess of of the amount owed, in which case an audit may be performed no more frequently than twice in any month period",audit auditor twice month frequently
"upon reasonable notice of not less than seven business days, but in no event more than once per year unless the immediately preceding audit showed a material underpayment , nettaxi shall have the right",audit underpayment preceding notice days
"subject to suitable confidentiality measures, to cause a certified public accountant to inspect those portions of the books of account and records which relate to the royalties owed nettaxi, to confirm that the correct amount owing nettaxi under this agreement has been paid",accountant confidentiality agreement owing certified
"upon reasonable prior notice, nettaxi will have the right, exercisable not more than once every twelve months",right reasonable notice exercisable prior
"to appoint an independent accounting firm or other agent reasonably acceptable to spinrecords.com, at nettaxi s expense, to examine such books",accounting expense appoint examine agent
"records and accounts during spinrecords.com s normal business hours to verify the amounts due by spinrecords.com to nettaxi herein, subject execution of nettaxi s standard confidentiality agreement by the accounting firm or agent provided, that execution of such agreement will not preclude such firm from reporting its results to nettaxi",accounting verify agreement confidentiality business
"during such two year period, and upon reasonable notice to the billing party, the non billing party shall have the right to have an audit conducted through a licensed independent accounting firm",audit accounting billing licensed independent
"of any billings, and taxes on such itemized statement, and to examine the records and books of account of the billing party in connection therewith",billing account statement examine party
"at any time during the term of this agreement, be entitled to audit all such records upon ten days written notice to the company, in order to confirm the accuracy of such records and conformance with the terms and conditions of this agreement provided",audit agreement company confirm notice
"during the term and for a period of three years thereafter, at its sole expense, upon reasonable advance notice from the other party",expense term notice advance party
"in addition to the foregoing audit rights of the parties, during the term, ncm and its authorized agents shall have the right",audit authorized shall term right
"each party shall have the right to conduct an audit after the end of each calendar year to verify the accuracy of the other party s quarterly reports for that year, provided the audit must be initiated no later than june th of each year, and that if no such audit is conducted",audit quarterly calendar year accuracy
"in the event a payee s audit shows that the gross proceeds or production costs of the payor resulted in an under payment to the payee, then the payor shall have the right, at the payor s cost",audit payment payor proceeds payee
"in the event a payee s audit shows that the gross proceeds or production costs of the payor resulted in an under payment of more than three percent to the payee, then the payor shall have the right, at the payor s cost",audit payment payor payee proceeds
"equidata may audit, at equidata s expense, the marketing affiliate s marketing",affiliate audit marketing expense
"during normal business hours, at a party s offices all records, policies and procedures relating to the use and or disclosure of confidential information that is subject to this agreement",disclosure confidential agreement information business
"upon not less than thirty days prior written notice and not more than once in any calendar year, affiliate shall have the right, at its sole cost and expense",affiliate expense notice shall written
"theismann or his representatives, at his cost and expense, shall have the right",right expense shall cost
"xencor shall have the right, upon days prior written notice to aimmune, to cause an independent",independent notice shall written right
"certified international public accounting firm reasonably acceptable to aimmune or reasonably acceptable to its affiliates or sublicensees, to audit such records during aimmune s, or its affiliate s or sublicensees",audit accounting affiliate international certified
"normal business hours to confirm the number of product units sold, the gross sales and net sales of product, the royalties payable",business payable product normal number
"and shall cause its respective affiliates, to permit cns and its respective designated representatives, at reasonable times and upon reasonable prior notice to such parties",permit shall respective notice reasonable
"upon reasonable written request of bioeq, and no more than once during a given calendar year, licensee shall make all records reasonably necessary to verify the accuracy of its quarterly reports pursuant to section available for inspection by an independent auditor of an internationally recognized auditing firm during licensee s standard business hours",licensee auditor quarterly inspection verify
"at the request of harpoon, abbvie shall permit an independent public accounting firm of nationally recognized standing designated by harpoon and reasonably acceptable to abbvie, to audit the books and records maintained pursuant to this section to ensure the accuracy of all reports and payments made hereunder",accounting audit harpoon pursuant public
"the licensed equipment a is and shall remain the sole property of liquidmetal, b shall be made available for reasonable inspection upon at least three weeks prior written request by liquidmetal, such inspection not to occur more than once per year during the term",inspection property licensed equipment prior
"to be conducted with minimal business disruption to eutectix and to be conducted at liquidmetal s sole cost and expense and upon reasonable prior notice to eutectix and at liquidmetal s expense, no more than once per year, during the term of this agreement and for one year following the expiration or termination of this agreement",expense disruption agreement termination expiration
"upon reasonable and prior notice to eutectix, eutectix will also provide liquidmetal or its designee from time to time with reasonable access to eutectix s facility and the facilities of its sub suppliers and other subcontractors to permit liquidmetal to inspect the production, and storage of liquidmetal products and the licensed equipment and inventories of raw materials and components",inspect equipment facility
"pb shall a provide sfj with quarterly unaudited financial statements and annual audited financial statements the pb financial statements promptly following the availability thereof and no later than the date filed with the sec and provide to sfj on a quarterly basis concurrently with the applicable pb financial statements , b promptly notify sfj of achieving the successful phase interim analysis and the phase success criteria, and c on or prior to the end of each during the term",quarterly interim phase concurrently financial
"at least during the term, upon sfj s request, executive officers of pb shall meet with executive officers of sfj to review and discuss pb s financial condition and operations",executive financial meet review discuss
"sanofi shall have the right to conduct customary reviews and audits of revmed and its affiliates and subcontractors provided that, with respect to permitted contractors or researchers that omitted revmed entered into a written agreements with prior to the effective date, such right of sanofi shall be to the extent revmed has the right to permit sanofi to do so under such written agreements",shall customary written permit permitted
"upon reasonable prior notice of the other party, but in any event at least prior notice, each party shall and shall cause its affiliates and its and their sublicensees to permit an independent auditor of international prominence",auditor international independent notice prominence
"selected by the auditing party and reasonably acceptable to the audited party, to audit the books and records maintained pursuant to section for the sole purpose of verifying for the auditing party the accuracy of the financial reports furnished by the audited party pursuant to this agreement or of any payments made, or required to be made",audit pursuant financial agreement
"such audit shall not occur more than in a given calendar year, unless for cause, and shall not concern books and records relating to a period more than preceding the current calendar year",audit calendar preceding period year
"the auditing party shall bear the full cost of such audit unless such audit reveals an underpayment by the audited party that resulted from a discrepancy in the financial report provided by the audited party for the audited period, which underpayment was more than percent of the amount set forth in such report, in which case the audited party shall reimburse the auditing party for the costs for such audit",audit underpayment reimburse financial cost
"any new facility proposed to be used by qualigen in manufacturing any product shall be subject to a new and separate audit by sekisui personnel in accordance with quality systems regulations qsr , as well as iso as part of sekisui s supplier approval program, sekisui will have the option to perform an audit applying sekisui s standard supplier criteria for qualification as an approved supplier at qualigen s carlsbad",audit supplier criteria iso facility
"if qualigen does not pass such audit and the reasons for such failure can be remedied within a reasonable period of time which shall not be less than sixty days , then sekisui shall provide qualigen with a list of proposed remedial action items and a proposed timeframe within which to accomplish such action items if qualigen does not pass such audit and the reasons for such failure cannot be remedied within a reasonable period of time or qualigen fails or elects not to complete any remedial actions reasonably suggested by sekisui, then sekisui s sole and exclusive remedy shall be to terminate this agreement in accordance with the provisions of section of this agreement",audit remedy terminate remedial failure
"as soon as practicable, but in any event within one hundred eighty days after the end of each fiscal year of qualigen i a balance sheet as of the end of such year, ii a statement of income for such year",fiscal income year balance eighty
"and iii a comparison between x the actual amounts as of and for such fiscal year and y the comparable amounts for the prior year and as included in qualigen s budget for such year, with an explanation of any material differences between such amounts, all such financial statements in the form of a compilation prepared by independent public accountants",fiscal budget comparison financial comparable
"as soon as practicable, but in any event within thirty days after the end of each quarter of each fiscal year of qualigen, an unaudited statement of income for such fiscal quarter",quarter fiscal income practicable year
"as soon as practicable, but in any event within thirty days of the end of each month, an unaudited income statement for such month",month income practicable days unaudited
"as soon as practicable, but in any event within forty five days after the end of each quarter of each fiscal year of qualigen, a progress report setting forth qualigen s business results and progress against the development plan and",progress development soon quarter fiscal
"as soon as practicable, but in any event no later than sixty days before the end of each fiscal year, a budget and business plan for the next fiscal year",fiscal plan soon later budget
"upon reasonable written notice and no more often than once every days , the auditing party shall have the right, during normal business hours",notice shall days business party
"zynga shall permit such records to be examined by authorized representatives of wpt, including such independent auditors as wpt may designate, during usual business hours",authorized designate permit
"with advance notice, to verify to the extent necessary the royalties paid hereunder, and wpt and its representatives shall use reasonable efforts to minimize disruptions to zynga s business",notice advance verify shall business
"the licensors shall have the right, upon reasonable notice, to inspect company s books and records and all other documents and material in company s possession or control with respect to the content each has or might license to content provider which becomes the subject matter of this agreement and only with respect to content each has or might license to content provider which become the subject matter hereof",license agreement content provider shall
