,text,keywords
17,"during the license term, transmit and distribute the licensed content on the licensee siteand related media intended solely for use by end usersin the territory within the scope set forth in schedule license scope , which is attached hereto and incorporated herein by this reference",license licensed licensee content media
18,"licensor grants to licensee a limited, non transferable except as provided in section and non sublicensable royalty free license during the term to those of licensor s marks designated by licensor from time to time to i display such marks on the licensee site x with the licensed content to provide source attribution or y as links to the licensed content ii comply with its express obligations under this agreement and iii advertise, market and promote the availability of the licensed content or the licensee site and identify the licensor as a content provider provided",license licensed licensee licensor content
19,"in exchange for the share consideration, licensor hereby grants to licensee a non exclusive, perpetual and non perpetual license subject to the duration and scope",license licensee licensor exclusive perpetual
20,"and format limitations for which licensor has the rights to each title as specified in schedule a a of schedule a to i. license, and otherwise exploit and make available each title within the territory in any language by vod including svod, avod and free vod for internet",license licensor title format territory
21,"tv and mobile platforms including, but not limited to, ott streaming services",streaming mobile limited
22,"sites and mobile sites , subject to these limitations for each of the title in schedule a a for titles listed in schedule a a licensor can only grant licensee distribution rights to up to six msos plus two of china s internet tv license holders or their ott internet based video partners by vod including svod, avod and free vod",license licensee licensor schedule mobile
23,"china s current internet tv license holders include cntv , southern media cooperation , hunan tv tv",china media license southern include
24,"titles other than , and cannot be edited in any way for titles listed in schedule a other than the versions dubbed or translated in which the titles in schedule a already exist in and were delivered in , no further dubbing",schedule dubbing listed way
25,"limitations on rights granted the following distribution methods are permitted non theatrical, ship and hotel rights all not earlier than the us theatrical release home video rental, home video sell through",theatrical permitted rental distribution release
26,"and commercial video rights all not earlier than the us video release cable tv pay free , terrestrial tv pay free , satellite pay tv internet tv pay free",free satellite pay cable commercial
27,"residential and non residential pay per view, residential and non residential internet pay per view, and internet vod all no earlier than the corresponding exploitation in the usa",pay residential exploitation view non
28,"promote each title in any manner or media, the right to use and license others to use licensor s name, the title of",licensor license title promote media
29,"trailers created for and excerpts from such title including but not limited to audio portions only , materials and the name, voice and likeness of and any biographical material concerning all persons appearing in or connected with such title for the purpose of advertising",advertising likeness title biographical voice
30,"use the titles for i audience and marketing testing, ii sponsor advertiser screening, and iii reference and file purposes",advertiser marketing audience sponsor screening
31,"licensor hereby grants licensee a non exclusive license to use the logos, trademarks and service marks used by licensor to identify the titles collectively, licensor marks in connection with the use of the titles as set forth in this agreement",license licensee licensor logos agreement
32,"throughout the term of this agreement, the parties hereby agree to grant to each other a limited license to use each other s proprietary marks solely in connection with the sale, marketing and promotion of each party s calling cards by the other party",license agreement proprietary limited marketing
33,"ediets hereby grants to women.com, subject to the terms and conditions of this agreement, a non exclusive",agreement exclusive non subject
34,"royalty free license to use, reproduce and display the editorial content and other data, branding and other identification provided by ediets to women.com in connection with this agreement the ediets content on the women.com sites i for publication in the diet center and elsewhere throughout the women.com sites ii for the promotion of ediets and the diet center on the women.com sites and in collateral advertising materials and iii for such other purposes as are consistent with or otherwise authorized under this agreement",advertising license publication content authorized
35,"women.com hereby grants ediets a non exclusive, royalty free worldwide right and license without the right to sublicense to use the women.com marks during the term solely in connection with i the fulfillment of ediets obligations under this agreement, and ii in advertising and marketing collateral related to this agreement",license sublicense advertising marketing fulfillment
36,"ediets hereby grants women.com a non exclusive, royalty free worldwide right and license without the right to sublicense to use the ediets marks during the term solely in connection with i the fulfillment of women.com s obligations under this agreement, and ii in advertising and marketing collateral related to this agreement",license sublicense advertising fulfillment marketing
37,"tl will hold exclusive worldwide rights to promote and sell the product through the following distribution channels outgoing telemarketing, general market retail, and general market catalogs",market retail sell promote exclusive
38,"endorser also agrees to the use on a world wide basis as specified pursuant to section below and subject to the terms and conditions of this agreement , during the term, of his name and appearance rights to advertise and promote the business of musclepharm",endorser agreement advertise pursuant business
39,"endorser agrees that during the term musclepharm shall have the right to use, endorser s name and appearance rights as specified in section to advertise musclepharm and its products and licensed products in print media, and in all other forms of media other than telephone marketing or texting campaigns including",endorser advertise licensed marketing media
40,"but not limited to, point of sale material, premiums and novelties",limited sale material point
41,"endorser will have the right to approve, in writing via his representative s office, all advertising materials which utilize endorser s name and appearance rights",endorser advertising approve representative appearance
42,"as provided below, during the term, the as parties grant to musclepharm the right to use the trademarks as defined in this agreement and the name and appearance rights",agreement term appearance defined right
43,"which shall include endorser s name, approved picture including, any copyrighted pictures and video images of the endorser owned by the endorser which endorser agrees to make available for use hereunder",endorser picture include video
44,"or approved likeness, including video and other recordings of endorser s appearance, along with the right to use endorser s voice",endorser likeness voice appearance video
45,"including audio or other recordings of endorser s voice, endorser s signature, personal or professional background and experience",endorser voice signature audio professional
46,"approved quotations and approved endorsements, or approved paraphrases of endorser s approved quotations and endorsements, including approved touch ups",endorser touch
47,"during the term of this agreement, the as parties grant to musclepharm and consent to musclepharm s commercial use of the name and appearance rights to advertise, endorse and publicize products",agreement publicize advertise commercial endorse
48,"and musclepharm s business, worldwide in any media selected by musclepharm excluding telephone or texting campaigns , including but not limited to print",media business print telephone excluding
49,"for purposes of this agreement, musclepharm s editorial use of endorser s name and appearance shall mean a use that does not directly promote, advertise or endorse musclepharm s business",endorse endorser advertise agreement editorial
50,"nothing in this section c shall entitle musclepharm to reduce endorser s compensation pursuant to section and section of this agreement including, with respect to any renewal term, if any",compensation renewal endorser pursuant agreement
51,"musclepharm shall have the rights to use endorser s name and appearance rights and the right to publicize endorser s name and appearance, as provided in this agreement, unless endorser and musclepharm enter into a separate written agreement in which musclepharm waives or releases some or all of the rights endorser has granted in this agreement",endorser agreement publicize appearance shall
52,"subject to the terms and conditions of this agreement, online bvi hereby grants to skype and the company a limited, non sublicensable except as set forth herein",agreement limited company non
53,"non assignable except as provided in section , royalty free but subject to the provisions of section , license during the term to use",assignable license section royalty free
54,"provide access to, reproduce and display the online bvi intellectual property solely as incorporated in, and for the development of and for transmission pursuant to this agreement of the company skype branded application",application branded development agreement company
55,"skype hereby grants to online bvi and the company a limited, non sublicensable except as set forth herein , non assignable except as provided in section",assignable company limited provided non
56,"royalty free but subject to the provisions of section , license during the term to use, provide access to",license royalty free access section
57,"reproduce and display the skype intellectual property solely i as incorporated in the company skype branded application and or the company skype toolbar, and ii as incorporated in, for the development of",incorporated company application branded development
58,"and for transmission pursuant to this agreement of, the company skype branded content and the company skype branded web site, in each case for the sole purposes unless otherwise mutually agreed by the parties of promoting and distributing",agreement branded company content web
59,"pursuant to this agreement, the company skype branded application, the company skype toolbar",company application branded agreement pursuant
60,"the company skype branded content and the company skype branded web site in the territory a provided, that it is understood that the company skype branded customers will have the right under the eula to use the company skype branded application and the company skype toolbar and will have the right to access the company skype branded content, the company skype branded web site and the online bvi web site through the internet and to otherwise receive support from the company anywhere in the world",company branded web application access
61,"and that the company shall be permitted to provide access to and reproduce and display the skype intellectual property through the internet anywhere in the world, and b provided further, that online bvi and the company shall ensure that no company skype branded customer or potential company skype branded customer shall be permitted to access",company branded access customer permitted
62,"using the company skype branded application or the company skype toolbar or through the company skype branded web site, any skype premium features requiring payment by the company skype branded customer or potential company skype branded customer , but not limited to",payment company customer branded application
63,"to the extent required and for the avoidance of doubt, stryker hereby grants conformis, and conformis hereby accepts",extent avoidance doubt
64,"for itself and its affiliates, hereby grants to eton in accordance with the terms and conditions of this agreement, an exclusive even as to and against aucta in the territory right and license",agreement license territory accordance exclusive
65,"including the right to sublicense, to the products or any components thereof , and all current and future aucta background intellectual property that is owned or controlled by aucta or its affiliates for eton to develop",sublicense develop property intellectual
66,"for itself and its affiliates, hereby grants to aucta in accordance with the terms and conditions of this agreement, a right and license",license agreement accordance right
67,"to its trademark, including to its name and logo, that is owned or controlled by eton or its affiliates for aucta or its authorized third party to make the packs",make authorized party
68,"exxonmobil grants fce a worldwide, non transferable except pursuant to article assignment , non sub licensable except as set forth in this paragraph a right and license to practice program results solely to conduct research and development for the program",license licensable transferable article program
69,"said right and license to practice includes the right to use, and create derivative works of program information under applicable copyrights and to make, and import but not sell or offer to sell under the claims of program patents",license program import create right
70,"exxonmobil grants fce a worldwide, irrevocable except as stated in paragraphs failure to perform , non transferable except pursuant to article assignment",transferable irrevocable article pursuant failure
71,"in the event exxonmobil notifies fce that it has formally decided not to pursue generation technology for carbon capture applications, then upon fce s written request, exxonmobil agrees to negotiate a grant to fce",grant negotiate carbon technology capture
72,"under commercially reasonable terms to be determined in good faith, royalty bearing with the royalty to be negotiated , non sub licensable except as set forth in this paragraph b",royalty licensable commercially paragraph reasonable
73,"to the extent not already granted pursuant to the license agreement, fce grants exxonmobil and its affiliates a worldwide, non transferable except pursuant to article assignment right and license to practice fce background information and fce background patents for generation technology in carbon capture applications and hydrogen applications",license transferable technology article
74,"in the event fce notifies exxonmobil that it has formally decided not to pursue generation technology for power applications, then upon exxonmobil s written request, fce agrees to negotiate a grant to exxonmobil and its affiliates",grant negotiate technology power generation
75,"under commercially reasonable terms to be determined in good faith, royalty bearing with the royalty to be negotiated , sub licensable right and license to practice fce background information and fce background patents for generation technology in any application outside of carbon capture applications and hydrogen applications",royalty license commercially technology licensable
76,"said right and license to practice fce background information and fce background patents for generation technology in any application outside of carbon capture applications and hydrogen applications will include the right to use, and create derivative works of fce background information under applicable copyrights and the right to make, and sell or offer to sell under the claims of fce background patents",technology license application hydrogen background
77,"exxonmobil grants fce a worldwide, non sub licensable except as set forth herein , irrevocable except as stated in paragraphs failure to perform",licensable irrevocable non failure stated
78,"said right and license to practice exxonmobil background information and exxonmobil background patents for generation technology in any applications outside of carbon capture applications includes the right to use, and create derivative works of exxonmobil background information under applicable copyrights and the right to make, and sell or offer to sell under the claims of exxonmobil background patents",license technology background information carbon
79,"exxonmobil grants fce a worldwide, non sub licensable except as set forth herein , irrevocable except as stated in paragraphs failure to perform",licensable irrevocable non failure stated
80,"said right and license to practice exxonmobil background information and exxonmobil background patents for generation technology in carbon capture applications includes the right to use, and create derivative works of exxonmobil background information under applicable copyrights and the right to make, and import but not sell or offer to sell under the claims of exxonmobil background patents",license technology background information carbon
81,"solely to conduct authorized work with authorized third parties in the event that exxonmobil fails to notify fce before the end of the term of the agreement of exxonmobil s intent to negotiate a subsequent or follow on commercial agreement, exxonmobil agrees to negotiate a grant to fce, under commercially reasonable terms to be determined in good faith",negotiate agreement grant authorized commercial
82,"said right and license to practice exxonmobil background information and exxonmobil background patents for generation technology in carbon capture applications will include the right to use, and create derivative works of exxonmobil background information under applicable copyrights and the right to make, and sell or offer to sell under the claims of exxonmobil background patents",license technology background information carbon
83,"exxonmobil grants fce a worldwide, non sub licensable except as set forth herein , irrevocable except as stated in paragraphs failure to perform",licensable irrevocable non failure stated
84,"in the event exxonmobil notifies fce that it has formally decided not to pursue generation technology for carbon capture applications, then upon fce s written request, exxonmobil agrees to grant to fce",grant carbon technology generation event
85,"under commercially reasonable terms to be determined in good faith, royalty bearing with the royalty to be negotiated , right and license to practice exxonmobil background information and exxonmobil background patents for generation technology in any application outside of power applications and hydrogen applications",royalty license commercially technology hydrogen
86,"said right and license to practice exxonmobil background information and exxonmobil background patents for generation technology in any application outside of power applications includes the right to use, and create derivative works of exxonmobil background information under applicable copyrights and the right to make, and sell or offer to sell under the claims of exxonmobil background patents",license application technology background information
87,"the supplier hereby grants to the distributor the non exclusive right, in the territory, to use the trade marks in the promotion",supplier distributor promotion exclusive territory
88,"subject to the terms and conditions of this agreement, jrvs appoints the distributor, and the distributor hereby accepts such appointment",distributor appointment agreement subject
89,"subject to the terms set forth in this agreement, erchonia grants distributor the exclusive, non transferable right and license to promote",license distributor transferable exclusive promote
90,"during the term of this agreement, erchonia grants distributor a non exclusive, non transferable license to use the trademarks for advertising and promotion of products",license advertising distributor promotion exclusive
91,"during the term and subject to the limitations set forth in paragraphs and , essi shall have the right to use the name, visual and audio representation of talent talent attributes in connection with the essi product suite",talent visual representation audio shall
92,"in the venue s as follows a. promotional territories territories shall include various online, radio and television promotional spots specific promotional spots and content specifics to be mutually agreed upon promoting the essi product suite commercial placements aired in various venues as determined to best suit the needed promotion of essi products b. on essi s downloaded apps useherbo, fitrx and websites www.useherbo.com www.eccossi.com websites",promotional venue promotion commercial
93,"during the term and subject to the limitations set forth in this agreement, naked shall have an exclusive right and license in the territory to use athlete s name, electronic media depictions",naked agreement license media territory
94,"symbols or other depictions, as well as any other identifying attributes that would identify athlete to the public, including any trade mark s",athlete identify mark public trade
95,"copyrights which wade has, as set forth on schedule a attached hereto, and all multimedia assets that wade owns or has right to use collectively",wade assets collectively use right
96,"the wade image solely for the advertising, or sale of the naked products including the wade products in the territory as follows omitted on naked s website s website in social media channels, but not limited to facebook",naked advertising wade image media
97,"tumblr and other mutually agreeable channels, with reasonable frequency, to promote naked products and wade products in marketing and media opportunities in connection with the wade services as defined below and for use on the packaging of the naked products and wade products and on wade products themselves",marketing media promote naked wade
98,"for the avoidance of doubt, that certain logo designed by athlete prior to the date hereof the logo shall remain the sole property of wade and naked shall have license during the term to use the logo for the advertising, or sale of the naked products including the wade products in the territory in accordance with the terms and conditions of the agreement",license naked wade property agreement
99,"subject to section , franchisor hereby grants to franchisee the exclusive right, a to establish and operate smaaash centres in the territory",territory establish exclusive operate section
100,"b to sub license the right to establish and operate smaaash centres to third party franchisees in and for the territory, c a license to use the products and other services developed by franchisor with respect to the smaaash centres including a right to authorise the use of products and services developed by the franchisor by third party franchisees , in the territory",license territory establish operate
101,"the rights granted herein include the limited license to use the trademarks of the franchisor the details of which are morefully set out in exhibit a , as set out in section of this agreement, for the purposes of establishing and operating the smaaash centres in the territory",agreement license limited territory
102,"subject to the terms of this agreement including all obligations to first obtain franchisor s written approval , franchisor hereby grants to franchisee the right to use the trademarks the details of which are set out in exhibit a to this agreement including sub licensing this right to third party franchisees with the approval of franchisor , on a royalty free basis",agreement approval royalty
103,"client hereby grants to company a non exclusive and limited license to use client s trade names, logos and other trademarks in connection with company advertising, marketing and promotion of its products and services",client license logos marketing company
104,"under the terms and conditions of this agreement, votocast hereby grants to licensee a nonexclusive, to access the services and provide licensee s users licensee users with access to the services licensee hereby grants to votocast a non exclusive",licensee agreement access exclusive provide
105,"participate in the transfer of, create derivative works from, display and otherwise use licensee content as necessary to render services to licensee under this agreement",licensee agreement content transfer derivative
106,"customer hereby grants to ibm, its affiliates and subcontractors all rights and licenses to, or agrees to promptly obtain and keep in effect required consents for all customer components",customer obtain
107,"ibm grants customer an irrevocable, paid up license to use, and perform copies of such materials and distribute within customer s affiliates only",license distribute irrevocable customer
108,"subject to the terms and conditions of this agreement, as of the distribution date, nuance hereby grants to spinco and the members of the spinco group a worldwide",agreement group distribution date
109,"fully paid up, perpetual and irrevocable, transferable subject to article viii",transferable irrevocable perpetual subject article
110,"sublicensable subject to section g license under the nuance patents, solely to the extent that claims of the nuance patents cover products or services of the spinco business in the spinco field of use, together with natural extensions and evolutions thereof",license extent business thereof nuance
111,"in each case to make, offer for sale, import and otherwise exploit such products and services",import sale exploit case offer
112,"subject to the terms and conditions of this agreement, as of the distribution date, nuance hereby grants to spinco and the members of the spinco group a worldwide",agreement group distribution date
113,"fully paid up, perpetual and irrevocable, transferable subject to article viii",transferable irrevocable perpetual subject article
114,"sublicensable subject to section g license to install, modify including the right to create improvements and derivative works , distribute and market products and services based on",license distribute modify install create
115,"subject to the terms and conditions of this agreement, as of the distribution date, nuance hereby grants to spinco and the members of the spinco group a worldwide",agreement group distribution date
116,"fully paid up, perpetual and irrevocable, transferable subject to article viii",transferable irrevocable perpetual subject article
117,"sublicensable subject to section g license to continue to use any nuance ip other than nuance patents, nuance technology assets, nuance trademarks and nuance data",license nuance assets technology section
118,"subject to the terms and conditions of this agreement, as of the distribution date, spinco hereby grants to nuance and the members of the nuance group a worldwide",agreement nuance group distribution date
119,"fully paid up, perpetual and irrevocable, transferable subject to article viii",transferable irrevocable perpetual subject article
120,"sublicensable subject to section g license under the spinco patents, solely to the extent that claims of the spinco patents cover products or services of the nuance business in the nuance field of use, together with natural extensions and evolutions thereof",license extent business thereof section
121,"in each case to make, have made use, offer for sale",sale case offer use make
122,"subject to the terms and conditions of this agreement, as of the distribution date, spinco hereby grants to nuance and the members of the nuance group a worldwide",agreement nuance group distribution date
123,"fully paid up, perpetual and irrevocable, transferable subject to article viii",transferable irrevocable perpetual subject article
124,"sublicensable subject to section g license to install, modify including the right to create improvements and derivative works , distribute and market products and services based on",license distribute modify install create
125,"subject to the terms and conditions of this agreement, as of the distribution date, spinco hereby grants to nuance and the members of the nuance group a worldwide",agreement nuance group distribution date
126,"fully paid up, perpetual and irrevocable, transferable subject to article viii",transferable irrevocable perpetual subject article
127,"sublicensable subject to section g license to continue to use any spinco ip other than spinco patents, spinco technology assets, spinco domain names and spinco data",license section domain assets continue
128,"in the event a party divests a line of business or line of products or services by a spinning off a member of its group by its sale or other disposition to a third party, b reducing ownership or control in a member of its group so that it no longer qualifiers as a member of its group under this agreement, c selling or otherwise transferring such line of business",ownership business selling disposition party
129,"products or services to a third party or d forming a joint venture with a third party with respect to such line of business, products or services each such divested entity or line of business, products or services",venture business joint entity party
130,"a divested entity , the divested entity omitted shall retain those licenses granted to it under this agreement, provided that the license shall be limited to the business",license entity agreement limited retain
131,"as of the distribution date, honeywell hereby grants, and agrees to cause the members of the honeywell group to hereby grant",grant distribution group date cause
132,"to spinco and the members of the spinco group a non exclusive, sublicenseable solely to subsidiaries and suppliers for have made purposes , worldwide license to use and exercise rights under the honeywell shared ip excluding trademarks",license exclusive
133,"the honeywell content and the subject matter of any other ancillary agreement , said license being limited to use of a similar type, scope and extent as used in the spinco business prior to the distribution date and the natural growth and development thereof",license scope limited ancillary business
134,"honeywell hereby grants, and agrees to cause the members of the honeywell group to hereby grant, to spinco and the members of the spinco group",grant group cause
135,"for a period of ten years after the distribution date unless earlier terminated in accordance with section c , a non exclusive, worldwide license to use and reproduce the honeywell content solely for the spinco group s internal business purposes",license distribution exclusive accordance business
136,"as of the distribution date, spinco hereby grants, and agrees to cause the members of the spinco group to hereby grant",grant group distribution date cause
137,"to honeywell and the members of the honeywell group a non exclusive, sublicenseable solely to subsidiaries and suppliers for have made purposes , worldwide license to use and exercise rights under the spinco shared ip excluding trademarks and the subject matter of any other ancillary agreement",license exclusive
138,"in the event a party divests a business by a spinning off a member of its group by its sale or other disposition to a third party, b reducing ownership or control in a member of its group so that it no longer qualifiers as a member of its group under this agreement or c selling or otherwise transferring a line of business to a third party each such divested entity line of business, a divested entity",ownership business entity disposition selling
139,"company grants to investor, for the duration of the option period, irrevocable license with the right to grant sublicenses to affiliates under the patents to practice the methods therein described and claimed and to make and have made",license irrevocable investor grant company
140,"offer to sell, sell and import products made using such methods, and to make improvements",sell import make offer
141,"company further grants to investor, during the duration of the option period, irrevocable license with the right to grant sublicenses to affiliates to use the technical information to practice the methods described and claimed in the patents and to make and have made",license irrevocable investor grant company
142,"offer to sell, sell and import products made using the methods, and to make improvements",sell import make offer
143,"if the option is exercised before the expiration of the option period, the license grants set forth in articles and will become exclusive to investor for a perpetual term, shall not be subject to a licensing fee",license fee expiration option perpetual
144,"the licenses granted in articles to of this ip agreement are subject to a reserved non exclusive license in the company to practice the methods described and claimed in the patents and to make, offer to sell, sell and import rare earth products made using such methods",license agreement exclusive reserved earth
145,"such reserved non exclusive license shall be solely for use by the company and its affiliates and shall not be transferable to any third party, except in connection with a merger, or the sale or transfer of substantially all of the company s assets associated with the performance of this ip agreement",license merger exclusive reserved transferable
146,"investor hereby agrees to grant to company a non exclusive, royalty free license under any investor improvement and any patent claiming such investor improvement, solely for use in rare earth mineral processing and rare earth separation",investor patent license grant mineral
147,"to make and have made, offer to sell, sell and import products made using the investor improvements",investor sell make import offer
148,"subject to the terms of this agreement including, pfhof hereby grants to the village media company a worldwide, non sublicenseable and non assignable except to the extent set forth in this agreement right and license to a exploit the pfhof works and b edit",agreement license village media company
149,"supplement or otherwise adapt, incorporate or otherwise utilize, the pfhof works to create",supplement incorporate utilize adapt create
150,"produce and exploit new, original work s each such work in this clause b , a hofv work",clause exploit work produce original
151,"in addition to any rights set forth herein, pfhof shall have the right and license to exploit hofv works, at no fee or charge to pfhof or any of its affiliates",license fee exploit charge right
152,"for the avoidance of doubt, nothing in this agreement shall grant village media company or its affiliates the right or license to i any live or near live rights to exploit any events or other content owned or controlled by pfhof e.g., or ii any programming or content in connection with or related to any enshrinement ceremony or the enshrinement selection process e.g",village agreement media ceremony content
153,"cytodyn hereby grants to vyera, and vyera hereby accepts, an exclusive royalty bearing license or sublicense",license sublicense exclusive royalty bearing
154,"as the case may be , under the cytodyn patents, the cytodyn know how and the inventions if any solely to commercialize",commercialize case solely know
155,"in the event that such assignment would be unlawful, and hereby does, grant to cytodyn an exclusive",unlawful assignment exclusive grant event
156,"sublicensable including through multiple tiers , transferrable without consent royalty free license to any and all right, title and or interest that it may have in or to an invention",license invention free consent multiple
157,"vyera shall have the exclusive right to implement, and subject to section , final decision making authority with respect to",authority implement shall section subject
158,"subject to the terms and conditions of this agreement and to non exclusive license agreements executed prior to the effective date, jhu hereby grants to the company a non exclusive, non transferable license to make",license agreement transferable exclusive non
159,"vendor hereby grants and promises to grant and have granted to at t and its affiliates a royalty free, world wide license in and to any applicable intellectual property rights of vendor to use, offer to sell",vendor license grant sell free
160,"the sole exception to the foregoing reservation of rights is that at t hereby grants vendor a limited, non transferable license that shall automatically terminate upon the termination or expiration of this agreement , under any rights owned by at t",reservation license transferable termination vendor
161,"in no way expanding the foregoing license, said license in no manner permits vendor to and vendor hereby promises not to without the explicit prior written and signed consent of at t intellectual property, llc attip consent make use of any at t provided items",license vendor consent expanding explicit
162,"paid for development or at t intellectual property rights either for the benefit of any third party or other than as instructed in writing by at t at t may be willing, in its sole discretion, to grant attip consent in exchange for appropriate additional compensation",compensation development consent grant discretion
163,"at t grants to vendor a license to access, and copy the at t derived data, with no right to grant sublicenses",license vendor copy grant derived
164,"operator grants to owner the limited right to use any training materials which are provided under this agreement, and owner agrees that upon termination of this agreement for any reason, owner shall return all training materials",training agreement termination limited owner
165,"kitov hereby grants to dexcel a fully paid, limited license right to use all of its confidential information and intellectual property rights including, the kitov foreground ip",license confidential limited property
166,"kitov s share of the joint ip, and the trademark kitov product ip necessary in order for dexcel to manufacture, package with the livery",livery package manufacture joint order
167,"test and release the product for shipment, exclusively for kitov, for and during the term",shipment release test product term
168,"subject to the terms and conditions of this agreement, todos hereby grants the reseller a non sublicensable, exclusive right to distribute and sell the products to customers in the territory provided",reseller exclusive distribute agreement sell
169,"subject to the terms and conditions of this agreement, todos hereby grants reseller a limited license to use the todos name and todos s trademarks, logos and related symbols the todos marks in the performance of its activities hereunder and in the marketing of the products in the territory",reseller license logos marketing agreement
170,"subject to the terms and conditions of this agreement, calm hereby grants to xspa, solely during the term and in the territory",territory agreement calm term solely
171,"a revocable as set forth in section , assignable solely as set forth in section , non sublicensable except as set forth in section",revocable assignable section forth set
172,"subject to the terms and conditions of this agreement, xspa hereby grants to calm, solely during the term and in the territory",territory agreement calm term solely
173,"a revocable as set forth in section , assignable solely as set forth in section , non sublicensable except as set forth in section",revocable assignable section forth set
174,"non exclusive license to use the marks set forth on exhibit e xspa s marks , and together with calm s marks, solely to the extent necessary for calm to exercise its rights or perform its obligations set forth in this agreement",license agreement exclusive calm exhibit
175,"during the term, customer hereby grants to supplier a paid up, non exclusive license",license supplier exclusive customer term
176,"without the right to sublicense, to customer s confidential information and the customer technology reasonably necessary to manufacture and supply to customer the product hereunder, but only for such purposes",sublicense manufacture confidential customer supply
